text,pro,anti,New_Pro,New_Anti
"https://t.co/EpZRfKhMXa. Alex Belfield NOT strong enuf! 

Boris Govt is a ROGUE transformed UK into Police State Dictatorship. 

Govt untenable &amp; illegitimate. Changed @NHS totally WITHOUT OUR CONSENT. DENIED URGENT Life-saving treatment to non Cv19 patients. Their GUILT is total",0,1,0,1
We have one last chance to stop Britain's descent into a post-Covid socialist nightmare -  Even a vaccine won’t halt the Left-wards drift of a society permanently scarred by lockdown https://t.co/lNLDlVbmKR,0,1,0,1
"Meanwhile, international flights continue arriving daily into Canada as they have since Day 1 of this #Scamdemic. https://t.co/4mcyVFrKhn",0,1,0,1
"Anyone else wondering why, if the majority of us in Scotland are being careful and masking up, observing FACTS, we are seeing something like 100 new cases of Covid per day ?",0,1,0,0
"If the new variant of COVID has been in the U.K. since September and it’s 70 x more infectious, then how come it’s only in London? 🤷‍♀️

Genuine question.
#Covid_19",0,1,0,0
"#coronavirus #Covid19UK
A calculated risk
People outside of the most vulnerable groups now getting virus and 'surviving' I presume, but UK gvmt not telling us are they https://t.co/amaTUfibSy",0,1,0,1
"‘17Percent Londoners, 5Percent of UK residents have COVID-19 antibodies‘ https://t.co/pdynus15zB produce antibody pills to cure Covid",0,1,0,0
"The Gov can fuck right off.

No WAY will I go for a vaccine that has not successfully completed stage 3 clinical trials.  And then I shall wait a bit because our Govs (UK &amp; USA) are too cavalier on this. https://t.co/bl0F2ASD2D",0,1,0,0
"While we were told to stay at home, a convoy carrying Trident nuclear missile warheads passed through central and southern Scotland 

https://t.co/GJRWRuOCPA",0,1,0,1
"Trudeau is trying to lock down the country, bankrupting companies, in financially ruining Canadiains and destroying their mental health. The Trudeau liberals are destroying Canada and his supporters and the MSM don't care. https://t.co/jJakc1Befy",0,1,0,1
"All the public wants for Christmas is the revival of the entertainment scene, which has been shuttered to control the spread of COVID-19 in Jamaica. Read more: https://t.co/wZjQPIXgi8 #GLNREnt https://t.co/bIuKajdR6C",0,1,0,1
"If Greater Manchester wasn’t angry already, that infection rates were lower than London and quickly declining still, yet we faced a stricter lockdown with many businesses forced to close

@MattHancock millions of people here would like to know why https://t.co/rD4Bh15gSI",0,1,0,1
"Drunk on corona power, ministers now threaten £5k fines for anyone trying to leave the country. Makes sense to stop some people coming in, but what possible justification can there be for stopping people who've had enough of the UK from voting with their feet?",0,1,0,1
"@minsterfm Are you thinking ""this #COVID19 Crisis could lead to a #suicide crisis""? Probably not. Are Ministers &amp; advisers prioritising #SuicidePrevention? No...despite the fact more people in the UK in 2020 will attempt suicide than die from #CoronaVirus infection.  

#EveryLifeMatters https://t.co/WqlgVWLfwu",0,1,0,1
Haven’t been able to take my kids to see their grandparents in Scotland for months. Are we now going to be banned? https://t.co/7MmlkrX9LT,0,1,0,1
A third of UK adults haven’t had a meaningful conversation in the last week. As a GP on the front line I think we need to plan for the mental health needs of our population over the next 12 months or more. #MentalHealthMatters https://t.co/3FUjYslQQV,0,1,0,0
"Today's (Temporary) Decrees. Do keep up.

Left-handed 52 year olds to isolate.
Mask-wearing compulsory in hot air balloons &amp; when Point-to-Pointing.
37% off sushi every 2nd Tuesday of the month —(Wednesdays in Scotland &amp; NI).
Free Dog licenses for Nurses. 
#UTurnTuesday
#Covid19",0,1,0,1
"I live on Vancouver Island where #DrHenry's #SanitaryDictatorship is in full force, despite a total of 11 deaths in a population of 800,000 &amp; 2 people in ICUs. These are not typos, but this is the stupidest, most arrogant &amp; destructive regime of my lifetime #COVID19 #BonnieHenry https://t.co/bc1NNdnAB0 https://t.co/64ofX1n1ge",0,1,0,1
"My morning thought Ontario is out of control. Unfair vaccine rollout. Ridiculous lockdown measures such as lifting of restrictions, corrupt govt and the list goes on. @fordnation is a shit show",0,1,0,1
People on Merseyside can take their parents grouse shooting but not sit in their back garden. Discussing Boris Johnson’s unscientific Covid chaos on @JeremyVineOn5 in a mo.,0,1,0,0
"16. The govt, which only weeks ago was demanding we go back to work or all get sacked, now demands we all stay at home

17. Them the govt said the reason the UK had the worst Covid response AND worst economy in Europe is because we are “freedom-loving”",0,1,0,0
"As millions of pupils go back to school in England, data scientist Professor Anthony Brookes says testing pupils for coronavirus and making them wear face masks in the classroom is ""child abuse.""

Watch talkRADIO live ► https://t.co/2kv95GHt1k

@JuliaHB1 https://t.co/jJ8nakHvG4",0,1,0,1
"The good news: Vaccines have ended the second wave of #COVID19 in Ontario's long-term care homes.

The bad news: Many frail seniors are still locked up indoors and haven't had any fresh air or sunshine for over a year.

Let's end this confinement ASAP please!

#LTCJustice",0,1,0,1
More people were reported to have died of stabbings than Covid in London yesterday.,0,1,0,0
"Now that Victoria is  in stage 4 lockdown there will be more suicides and escalation of mental illness. 
There has been a significant increase in suicide figures since the start of COVID-19. 
Could two friends please copy and re-post?",0,1,0,0
A friend of ours suggested we send this video to our MP's So we will &amp; we ask you to do the same. This 2 tier policing has now defended into a farce as we the indigenous people of Britain are imprisoned while illigals are free to roam freely... https://t.co/9aPIuPd0pD,0,1,0,1
"Coronavirus pandemic was not a medical event

It was a political event

About ten times more businesses about 300,000 will end up dying than people who got knocked over from the virus

Democracy is horribly broken in Canada",0,1,0,1
Support needed for a legal challenge to the shutdown of Britain and the throttling of personal liberty: 'The most extreme restrictions on liberty that have been imposed on the public in modern times.' https://t.co/bktl4qTWmN and https://t.co/xYoI9LvPSE,0,1,0,1
"599 hospital beds in the WHOLE of England are occupied by Covid patients.
Just 56 are serious enough for beds with mechanical ventilators.

The 5 wks of media scare stories about cases is undermined by this fact. 
People are not falling ill like in March
Normal life HAS to return",0,1,0,1
Keep protesting Calgary! According to the responses there’s still a lot of 🐑 herding to do. Well done 👍 https://t.co/dS79APDZBb,0,1,0,1
Canadians entering Canada need 3 negative COVID tests to come back homeIf not off to jail you go!,1,0,1,0
".@MathiasCormann has told Sky News it was ""selfish” and “reckless” for protesters to attend Black Lives Matter protests over the weekend when Australia is still trying to curb the spread of COVID-19 https://t.co/IzLvzH6KW6",1,0,0,0
"ACCORDING TO THE SUN.
Love Island star Zara Holland will appear in court in Barbados on Wednesday charged with breaching Covid-19 laws. The former Miss Great Britain, 25, could be fined up to £18,000 and jailed for a year. https://t.co/N4pCNNy8BF",1,0,1,0
Ban every EU ship! Boris urged to completely seal off UK waters in face of export threat https://t.co/O0wHmTqBgr,1,0,1,0
"On Jan 7 #canada introduced new rules requiring incoming air travellers to produce negative #covid results for tests taken within 72 hours. Between Jan 7-17, PHAC reports 160+ international flights with passengers testing positive within days of arrival.  What does this tell us?",1,0,1,0
All of England &amp;#39;must be put into tier 4 immediately&amp;#39; as mutant strain spreads https://t.co/0fkjgVMyj9 via @MetroUK,1,0,1,0
"@WelshGovernment Time for # facemasks in shops, hospital A &amp; E, Out patients , buses and trains to be made mandatory
 Go supermarket shopping and A &amp; E  see what I mean !
 Social Distancing doesn't exist #WALES @fmwales @CMOWales @CAV_LenRichards",1,0,1,0
@Kennyaberdeen Exactly and I am grateful to Scotland for leading the way and proving zero #Covid is possible. We cannot just accept this. It's plane loads of tragedy and barely a mention in the Media.,1,0,1,0
"@profholden overwhelmingly clear why we must urgently set the goal AND date for elimination of community transmission #covid19 in Victoria and NSW. If not, the future is more illnesses, more deaths, fewer businesses. https://t.co/LOMMrvrwWd @InsidersABC @Politics_SMHAGE",1,0,1,0
UK needs a 2-3 week lockdown. Move school mid-term to now if need be. I won’t tell coronavirus it’s not really mid-term if you don’t.,1,0,1,0
"We're clearly at a tipping point for Covid-19 in Ireland and it's going to be a few months before we have mass inoculation. 

Increased action is obviously necessary but those who flouted Level 3 regulations will ignore Level 5. 

Uncomfortable as it may be, we need enforcement.",1,0,1,0
"We achieved the impossible before, and not that long ago either. #ZeroCovid is possible with will, skill, determination and LEADERSHIP. Be the Statespeople all of Ireland deserves, @RoisinShortall @MichealMartinTD @LeoVaradkar  @alankellylabour @MaryLouMcDonald @RBoydBarrett https://t.co/qn9kh1CJae",1,0,1,0
It's a beautiful day in Northamptonshire but please do stay at home and obey the instructions today #NorthantsTogether https://t.co/4G5dfEZyc6,1,0,1,0
"🚨 #Nottingham has been placed on alert level HIGH in new government restrictions.

If things don’t improve quickly we will be moved to alert level VERY HIGH so we ALL need to take action NOW to #StopTheSpread 🦠

High restrictions explained 👇
https://t.co/l4Y6MUNusY https://t.co/7PdsZoGtb2",1,0,1,0
We're seeing a steep rise in COVID-19 cases in Leeds with today's rate at 98.5 per 100k and 8.4% of people tested being positive. Please do everything you can to be safe and check out the new NHS app https://t.co/lkjYahuvUP. #StaySafeSaveLives #TogetherLeeds https://t.co/GLutNp5iuI,1,0,1,0
"As govt delays negative Covid test requirement for people travelling to the UK, voters wonder why a party elected on a platform of closing borders can't bring themselves to actually bloody do it.",1,0,1,0
"I ended 2020 saying “I’m so proud of what we’ve achieved within #Australia. I’m sad and frustrated about our lack of vision for anything beyond.” An effective #quarantine system is crucial so we are not cut off from the world
#education #tourism #migration https://t.co/F3PNkxda1B",1,0,1,0
Photos show Melbourne shoppers crammed into Queen Victoria Markets ignoring social distancing despite Stage 4 lockdown https://t.co/T9fuDc5nGc,1,0,1,0
Who is thinking if it wasn't for @AnnastaciaMP strict border control Qld might have lost a lot of life's with the #COVID19?,1,0,1,0
"Last week Ireland adopted tough additional measures designed to limit the spread of #COVID19. 
It has been a truly nationwide effort to stop the spread of this virus &amp; to protect the vulnerable. We need to keep it going. We need to #FlattenTheCurve even more than we have.",1,0,1,0
"Who else is excited for the second wave of covid outbreaks in Australia as restrictions are lifted? Oh, fkn no one? Then STAY AT HOME.",1,0,1,0
"Don’t let the side down.

Stick to the rules.

#StayHomeSaveLives https://t.co/E4V0CDdE73",1,0,1,0
"#COVIDIOTS convicted and fined by #Adelaide court for breaching SA border - to have an ""overnight stay"" over a broken ankle - but Opposition says that's not enough, and jail should be a penalty option: https://t.co/FMX3tO5Nr6 via @theTiser",1,0,1,0
"An open letter From Andy Mitchell CBE, Co-Chair of the #ConstructionLeadershipCouncil, to UK #construction. Urging them to follow the rules and #staysafe.  #HomeImprovement  #covid #lockdown #UKeconomy #UKconstruction #RMI https://t.co/GgaAf4VtZB https://t.co/lB5oCpk6U5",1,0,0,0
Thank you to the New Zealand government for the path you have taken in combating Covid-19 and not going down the Swedish route. https://t.co/rXOmdNZq98,1,0,1,0
"Another day yesterday with no confirmed positive COVID deaths registered in Scotland (and on a weekday too, so without the caveat of lower weekend registrations that applies to Sun/Mon figures). Let’s keep at it, to sustain progress. Time to take extra care, not drop our guard. https://t.co/ZKcDTM9A5z",1,0,1,0
"I was cycling back from work and the roads were quiet, now seeing this gives me hope that people are doing the right thing in Wales. Only for a bit, not forever. Let's keep each other safe. https://t.co/d7p5hdmXHx",1,0,1,0
"Dec 16th: COVID-19 Incidence (rate of new cases) has dropped week over week in 7 of the 13 zones. These regions contain 72% of the people of Saskatchewan. Overall, our pandemic suppression efforts are working. If we become complacent all this good could disappear. Keep fighting. https://t.co/i71guSVcnT",1,0,1,0
@piersmorgan @BorisJohnson @MattHancock @uksciencechief @CMO_England @krishgm @Peston @BenKentish @cathynewman @maitlis @TheDA_UK @bbcnickrobinson @Jeremy_Hunt @Keir_Starmer Everyone in the UK should be told to wear a mask when they go outside. Why so slow yet again? It’s urgent,1,0,1,0
"Fascinating that while other countries have created rituals of clapping to honour front line health care workers fighting Covid, NZ has had so few hospitalised cases that we are creating a culture of honouring our public health contact tracers. Prevention is the best medicine. https://t.co/xkXlFUW1eA",1,0,1,0
"@mheusser Staffers of the Alberta provincial government have been arguing that they don't need to do anything to decrease the spread of COVID because of personal responsibility. Meanwhile, our numbers are spiking.",1,0,1,0
Regardless there will be none of this in Heiltsuk territory. We will not allow anyone threatening our members and other people living in our area get the Coronavirus. Stay the fuck away https://t.co/APSltrshxA,1,0,1,0
"The Premier of Alberta doesn't seem to realize that the real enemy is #CoronaVirus. Not the Opposition, not doctors, not teachers, not unions.

He needs to fight #covid19AB to support the economy. 

#ableg #cdnpoli #yyccc #yyc #yeg https://t.co/6X2QsSLFgh",1,0,0,0
"Once again, we must each play our part in stemming the spread of #COVID19 in Ireland - 

1.Follow the public health advice

2.Isolate and contact your GP without delay if you have any cold- or flu-like symptoms",1,0,1,0
Local @F45Training gym not opening windows/doors despite transmission in their local area in Melbourne &amp; repeated attempts at getting them to listen not working. Advice from @VicGovDHHS doesn’t appear to be getting through. Work done vs work imagined? https://t.co/EPJGiBtO0c https://t.co/me47brUNqP,1,0,1,0
"Tickets handed out at 3 separate private gatherings in #Mississauga over the weekend for alleged #COVID19 rule violations
https://t.co/kpvm6FrCL3",1,0,1,0
"@Colin_R_Gale it’s absolutely approriate that those getting into NZ should be capped. They need to be tested and have a neg report before getting on the plane.

We’ve imported 32 #Covid cases since 16 June (3 weeks ago), and God knows how many before that, since the border closed 19 March. https://t.co/AlDJcycaeC",1,0,1,0
"This 👇is utterly cringeworthy 1) their is clearly a border, undisputed fact. 2) Health is devolved, first principle of government, protect citizens. 3) during foot and mouth virus, we shut the border, result was far fewer cases in Scotland. Should’ve been shut already (1) https://t.co/Nw9u5929A5",1,0,1,0
"We've literally seen the footage of temporary morgues, army trucks removing bodies, and hospitals at breaking point in other countries where Covid has happened yet somehow in Victoria, where the government has literally saved us from that, it's a failure. You absolute dumb cunts.",1,0,1,0
Coronavirus: Police shut down 494 house parties in four days in Greater Manchester https://t.co/lNIGkHl1rD,1,0,1,0
Cases still falling in Ontario! Don’t stop now! https://t.co/nT7zrAzhWZ,1,0,1,0
"This is why social distancing matters. 
This is why you couldn't see your friends and family for the last month.
Here's Ontario's ICU data showing signs of flattening!
#StayHomeSaveLives https://t.co/tRbiK2JMKi",1,0,1,0
"Coronavirus: Police fury over 'literally hundreds of people sitting having pizza, beers, wines' in London parks
https://t.co/JnOE4o5DVb https://t.co/7HH0iVV88S",1,0,1,0
"We’re facing an extremely serious situation. 

Cases of coronavirus continue to increase in our communities and in our hospitals. 

Wales will move to alert level 4. Here’s how it will happen 👇 https://t.co/1RyArYhEHH",1,0,1,0
"Travelling for non-essential reasons puts yourself and others at risk.

Remember to think carefully about whether you really need to travel, especially when going to areas with higher rates of #coronavirus, such as Blackpool.

FM @NicolaSturgeon's advice on travelling safely ⬇️ https://t.co/kIl42UjVbp",1,0,1,0
BREAKING: Ontario projections over course of pandemic predict 100-thousand deaths WITHOUT public health measures. WITH public health measures it goes down to 3-thousand to 15-thousand.  (waiting to hear what public health measures consist of and if we need to go further #covid19,1,0,0,0
"Keep going through my mind how mad it is that Britain, an island, couldn’t have just had one hard six week lockdown, kept everyone at home, closed all the borders and broke the chain of infection right at the start of the pandemic. Things could have been normal by now.",1,0,1,0
"@Joy997FM For our safety,we're not going back to school until Ghana is declared Corona free...I heard Mansoman SHS is even being used as an isolation centre",1,0,1,0
Well worth reading. Coronavirus Australia: I thought elimination of COVID-19 was not possible in Australia - now I've changed my mind https://t.co/QIx4DZ0yIF,1,0,1,0
@YoniFreedhoff @EmmMacfarlane I went out for groceries (essential!) Today. I didn't see 25% capacity at big box stores. Ontario's stat at home is farce,1,0,1,0
"🦠These were the same people who didn’t want the minutes published. This is pathetic🦠Coronavirus: SAGE urged government to lockdown a week earlier, UK's chief scientific adviser says | Politics News | Sky News https://t.co/Ddlewmdttf",1,0,0,0
"People I urge you look at stats @ONS  9000  deaths for this time of year under 140 England /Wales due to #covid 
Why are we still crashing the economy people dying untreated from other illnesses I’m sooooo frustated @BorisJohnson  @MattHancock @RishiSunak https://t.co/irkK6fhLDh",1,0,1,0
"I'm writing a tweet thread on what I think COVID in Canada in 2021 will look like.  Short version: the next months will be  much worse than anything yet--we are nowhere near the bottom--but come summer, the nightmare will slowly lift.  (Thread)",1,0,0,0
"In other 🇬🇧 news—

Schools across England are reopening again *today*. No school mask requirements. No school air quality &amp; ventilation guidelines—it is so dangerous that it is “medieval” says Professor @theAliceRoberts. 

God save 🏴󠁧󠁢󠁥󠁮󠁧󠁿 &amp; its children from #B117. #COVID19 https://t.co/qnkjLizgAK",1,0,1,0
@Lomu4Ever @torney_michele @SuzyJourno An 8 year old has died in England from Covid.More children are being admitted to hospital.AQE ignoring Sage advice.What are AQE playing at? Now putting kids lives at risk,1,0,1,0
"BREAKING: UK records 1,610 new coronavirus deaths, highest daily rise of the entire pandemic. 
I repeatedly asked @BrandonLewis on @GMB today why we currently have the worst death rate in the world.
He repeatedly refused to say. 
The Govt needs to answer that question.",1,0,1,0
"Another member of staff from a London hospital: “Things are a mess. Treatment in ambulances, oxygen ran out the other day. It’s horrid. The whole hospital is full of Covid. This is worse than the 1st wave and is going to get worse because the public don’t realise how bad it is.”",1,0,1,0
"""The urgent and immediate need is to put in place mitigating measures such as the provision of soap, face masks and a supply of clean portable water in all villages to safeguard minority communities from #COVIDー19,"" writes MRG's @gkerosi. #Kenya https://t.co/0N3oOe4lxh",1,0,0,0
"708 more #coronavirus deaths in UK recorded in past 24hrs - the deadliest day so far. 
Total death toll now 4,313. Please, please may we be approaching the peak. Quickly.",1,0,1,0
"Scary: This study forecasts 152,000 coronavirus related deaths in Europe, including 66,000 for UK (highest in Europe) which lacks hospital beds, ICU beds and ventilators.
Heavy price to pay for neglect of the NHS &amp; tax cuts for corporations &amp; the rich.
https://t.co/FPXj2yklo5",1,0,1,0
"Following the announcement of the ‘FIFA COVID 19 Relief Plan’, the FAW has resultantly set up a dedicated FAW Matchday Support Grant to protect the future of the domestic game in Wales.

#TogetherStronger",0,0,0,0
"Ontario's COVID-19 Wave 2 has passed a milestone.

More fatal cases have been reported since deaths started rising again in early Sept. than we saw in Wave 1 before its May 6 peak.

Can't predict the future, but it's increasingly plausible Wave 2 ends up more deadly overall. https://t.co/t2Qb3yyijH",1,0,0,0
"I'm seeing very worrying headlines today about 'half of the UK adult population being vaccinated'. 
The truth: 3% of our total population is fully vaccinated and 38% of the population have received 1 dose. Why is this framing important? And what does it mean for pandemic control? https://t.co/NmllLGXmL2",1,0,0,0
"On the train to London and we’ve got.. a group of bams blaring music, no one wearing masks, social distancing out the window and a guy doing balloons making a cunt of a noise 👍🏻",1,0,1,0
"1 in 30 people have covid in london?

fuckkk thatttttt hahaha, i aint leaving my house",1,0,1,0
Service will be patchy today. Am spending a couple of days at a major London hospital. Full piece to come but spending time on a ward full of patients gasping for air is deeply sobering. One woman has lost her husband and two children to Covid and is fighting for her own life.,1,0,1,0
"We have lost a third nurse, John Alagos, to this horrid disease. Yet on Sophy Ridge Show Rinesh Parmar, chair of the Doctors’ Association UK, said some nurses are having to hold their breath when dealing with coronavirus patients because of a lack of effective face masks 😞",1,0,1,0
"So according to this far right wing authoritarian regime, it's okay to let those who worked all their lives to build Great Britain, to die horribly?

What they have already done, is go for Herd immunity, without telling us, and without a viable vaccine.

This is GENOCIDE. https://t.co/H8BdS4LDpd",1,0,1,0
"Today 22% of all those tested for COVID-19 in Kenya turned positive. 

Hospital labs are reporting even higher rates. 

Community transmission is well established. 

Interventions have not changed. Mask. Hygiene. Distance. Vaccine when you are eligible.

Keep safe.",1,0,1,0
"UPDATE: After today's @ONS data, the latest estimate for the number of excess deaths in the UK linked to coronavirus is

115,300

Note that 50,000 of these have happened in the second wave, so don't let anyone say death numbers are normal

1/ https://t.co/b5L9fCgida",1,0,1,0
"We move to phase 3 on Mon 29th June. Very low levels of #COVID19. What worries me most now is travel from overseas and I fear many planning foreign trips. 2020 is a year for a staycation. Stay in Ireland, spend locally and follow public health advice.  @roinnslainte @HSELive",1,0,1,0
"The UK has reported a Covid daily death toll of 1,564. That's more people than died on the Titanic. This is what that many names looks like. https://t.co/sZB0y54u52",1,0,1,0
"@neets_love there is NO gold standard therapy for Covid-19. The vast majority of people who will be affected are going to have mild/moderate symptoms that may never be hospitalization. But if 1% of The Bahamas is infected that’s 3800 people. If 5% of them die, that’s 190 people 🤷🏾‍♂️",1,0,1,0
"#johnson and #cummings are gambling with our lives and we know #hancock likes a bet. Just because govt in England says it's safe, people don't have to follow their advice. Listen to the doctors, public health experts and scientists. #StayHomeSaveLives #ignoreboris https://t.co/FXjNCfXA7i",1,0,1,0
Just had a message from a mate who’s a Dr in Bridgend  saying the hospital is rammed - and there are 40 year olds in ITU with Covid. He’s begging people to wear masks and not mix,1,0,1,0
"20,000 covid-19 hospital deaths in the UK. Each one is a tragedy. Each one is a mourning family, distraught friends and a life lost before its time.",1,0,1,0
Victoria is in a #coronavirus crisis. Let’s hope this next stage will get it under control. This virus is smashing my state.,1,0,1,0
"The government’s ambition to ‘flatten the curve’ of new coronavirus cases is very misleading.

If the UK has 5,000 new Covid-19 cases every day the curve will flatten slowly.

That would mean about 1,000 people  dying every day, with the government saying the lockdown is working!",1,0,1,0
More information on @HSELive Study to Investigate COVID-19 Infection in People Living in Ireland (SCOPI) available here - https://t.co/AC1UvaGRK8,0,0,0,0
"Canada should simultaneously accept the Huawei 'gift' of masks, and announce that Huawei will be banned from our 5G networks. After all, if the masks aren't about the 5G bid, then surely the CCP will still send them regardless, right?",0,0,0,0
So sad that Labour are still trying to make themselves relevant in Scotland by complaining about daily briefings on a pandemic. Embarrassing stuff. https://t.co/5e7Fx0PVJR,0,0,0,0
@Rayshell Not often in Twitter... just seeing this now that I am back in full force. Sorry for the missed response....,0,0,0,0
"When Jeremy Hunt was UK Health Secretary the stockpile of PPE was cut by 40 per cent. In 2016, he oversaw Exercise Cygnus that predicted the NHS he was starving to death could not cope with a pandemic. He ignored it. Prosecute Hunt for criminal negligence.https://t.co/PHpwrubIH9",0,0,0,0
"Another, sad day for UK https://t.co/Kq3GAROZtv",0,0,0,0
Thirteen fresh Covid-19 cases confirmed in NHS Highland area https://t.co/j23KAu915b,0,0,0,0
"#Walsall as more places begin to reopen, handwashing is more important than ever.

When you get home from being outside, wash your hands with soap and water for 20 seconds.

Follow official NHS advice: 

 https://t.co/jSIiyzPeCv https://t.co/D5ig3JZ1HO",0,0,0,0
❤️🌈❤️ https://t.co/2oE098e4JV,0,0,0,0
"Background story on £126m govt funding for two UK #COVID19 vaccine projects
#openscience https://t.co/dBTfZg4Ham",0,0,0,0
Pickering deputy mayor Kevin Ashe says he has tested positive for COVID-19 https://t.co/QgkvEJEsXC,0,0,0,0
"As Britain begins its recovery from lockdown, women's sport is being left behind. 

@RealDeniseLewis, @JudyMurray, @GabbyLogan, @traceynev, @JacquiOatley and @Aliceliveing_ and other leading sportswomen have joined forces in a letter to the government. 

https://t.co/6GfTvIBKT6",0,0,0,0
